CaptureDate,Species,TempStart,DissectionDate,ID,SVL,Weight,Disease,Parasites,Sex,SkinSwab,LeftGonads,RightGonads,Spleen,Temperature,VCO2,Cort,Location,Notes,Reproductive
Feb 8 2026,O. septentrionalis,Feb 22 2026,Feb 24 2026,KH001,67.75,22.611,N,N,F,1,,,Y,24,8.03E-05,9.288,Duckpond,,
Feb 9 2026,O. septentrionalis,Feb 22 2026,Feb 24 2026,KH002,44.05,5.524,N,N,,1,,,Y,24,2.29E-05,4.721,McGuire Center,,Gonads not visible
Feb 11 2026,O. septentrionalis,Feb 22 2026,Feb 24 2026,KH003,50.6,6.356,N,N,F,1,,,Y,24,4.90E-05,5.112,NATL,,
Mar 1 2026,L. sphenocephalus,,Mar 10 2026,KH004,44.38,6.626,N,N,M,1,0.0032,0.0031,Y,24,3.01E-05,8.482,NATL,,
Mar 1 2026,O. septentrionalis,,Mar 9 2026,KH005,43.65,4.52,N,N,F,1,,,Y,14,8.19E-06,4.971,NATL,,
Mar 1 2026,H. cinerea,,Mar 10 2026,KH006,38.46,4.239,N,N,M,1,,,Y,24,1.60E-05,15.205,NATL,,
Mar 1 2026,H. cinerea,,Mar 10 2026,KH007,32.2,2.275,N,N,M,1,,,Y,24,2.55E-05,47.422,NATL,High CV,
Mar 1 2026,O. septentrionalis,,Mar 9 2026,KH008,35.96,2.736,N,Nematodes,,1,,,Y,14,4.34E-06,5.769,NATL,,
Mar 1 2026,H. cinerea,,Mar 9 2026,KH009,25.72,1.069,N,N,M,1,,,Y,14,2.18E-06,0.554,NATL,,Gonads not visible
Mar 1 2026,H. cinerea,,Mar 13 2026,KH010,34.29,2.766,N,N,M,1,,,Y,14,8.43E-06,8.036,NATL,,
Mar 8 2026,H. cinerea,,Mar 12 2026,KH011,28.6,1.266,N,N,F,1,,,Y,34,2.36E-05,0.944,NATL,,
Mar 8 2026,O. septentrionalis,,Mar 12 2026,KH012,36.95,3.616,N,N,M,1,,,Y,34,3.43E-05,53.154,NATL,,
Mar 8 2026,L. sphenocephalus,,Mar 12 2026,KH013,30.67,1.826,N,N,,1,,,Y,34,1.83E-05,6.435,NATL,,Gonads not visible
Mar 8 2026,H. cinerea,,Mar 12 2026,KH014,45.73,4.988,N,N,F,1,,,Y,34,7.12E-05,18.939,NATL,High CV,
Mar 8 2026,H. cinerea,,Mar 13 2026,KH015,37.95,2.982,N,N,M,1,,,Y,14,1.81E-05,21.636,NATL,Food in gut,
Mar 8 2026,E. planirostris,,Mar 13 2026,KH016,18.7,0.532,N,N,,1,,,,14,2.85E-06,34.546,NATL,,
Mar 8 2026,E. planirostris,,Mar 13 2026,KH017,14.84,0.41,N,N,,1,,,,14,2.24E-07,,NATL,,
Apr 21 2026,O. septentrionalis,,May 1 2026,KH018,62.121,18.764,N,N,M,0,,,,14,,17.986,Orange park,Respiration file corrupted,
Apr 26 2026,E. planirostris,,May 2 2026,KH019,24.64,1.133,N,N,F,1,,,,34,1.59E-05,,NATL,,
Apr 26 2026,O. septentrionalis,,May 2 2026,KH020,41.02,3.802,N,N,,1,,,Y,34,3.34E-05,31.917,NATL,,Gonads not visible
Apr 26 2026,H. cinerea,,May 2 2026,KH021,41.07,3.933,N,N,F,1,,,Y,34,4.47E-05,66.848,NATL,High CV,
Apr 26 2026,E. planirostris,,May 2 2026,KH022,20.18,0.895,N,N,,1,,,Y,34,1.04E-05,24.599,NATL,,Gonads not visible
Apr 26 2026,H. cinerea,,May 2 2026,KH023,39.42,3.199,N,N,F,1,,,Y,34,3.41E-05,127.718,NATL,,Gravid
Apr 26 2026,O. septentrionalis,,May 2 2026,KH024,63.16,17.77,N,N,F,1,,,Y,34,0.000182125,,NATL,High CV,
Apr 29 2026,H. cinerea,,May 8 2026,KH025,43.69,4.066,N,N,F,1,,,Y,14,6.53E-06,148.904,NATL,,Gravid
Apr 29 2026,H. cinerea,,May 8 2026,KH026,44.1,3.263,N,N,M,1,,,Y,14,0.000167483,1.7,NATL,,
May 3 2026,E. planirostris,,,KH027,20.82,0.834,,,,1,,,Y,,,,NATL,Dead before dissection,
May 3 2026,H. cinerea,,May 9 2026,KH028,48.66,6.061,N,N,M,1,,,Y,34,6.01305E-05,1.452,NATL,,
May 3 2026,H. cinerea,,May 9 2026,KH029,47.69,7.214,N,N,F,1,,,Y,34,3.41E-05,9.563,NATL,,Gravid
May 3 2026,H. cinerea,,May 9 2026,KH030,37.21,3.005,N,N,F,1,,,Y,34,6.74E-05,6.369,NATL,,
May 3 2026,H. cinerea,,May 9 2026,KH031,45.24,7.252,N,N,M,1,,,Y,34,3.49E-05,3.176,NATL,,
May 3 2026,H. cinerea,,May 9 2026,KH032,39.14,4.555,N,N,M,1,,,Y,34,2.01E-04,25.035,NATL,,
May 14 2026,E. planirostris,,May 19 2026,KH033,21.73,1.141,N,N,F,,,,Y,24,4.76E-06,41.246,NATL,,Gravid
May 14 2026,E. planirostris,,May 19 2026,KH034,23.73,1.095,N,N,F,,,,Y,24,8.46E-06,34.338,NATL,,
May 14 2026,H. cinerea,,May 19 2026,KH035,45.78,6.445,N,N,M,,,,Y,24,8.52E-05,,NATL,,
May 14 2026,H. cinerea,,May 21 2026,KH036,39.64,3.497,N,N,M,,,,Y,14,1.17677E-05,3.273,NATL,,
May 14 2026,E. planirostris,,May 21 2026,KH037,23.42,1.002,N,N,F,,,,,14,5.17302E-06,,NATL,,Gravid
May 14 2026,E. planirostris,,May 19 2026,KH038,19.84,1.205,N,N,F,,,,Y,24,5.17E-06,11.88,NATL,,Gravid
May 14 2026,H. cinerea,,May 19 2026,KH039,46.91,5.872,N,N,M,,,,Y,24,2.49E-05,8.073,NATL,,
May 14 2026,H. cinerea,,May 19 2026,KH040,46.51,5.634,N,N,M,,,,,24,4.01E-05,3.67,NATL,High CV,
May 15 2026,L. sphenocephalus,,May 20 2026,KH041,66.66,21.873,N,N,F,,,,Y,24,0.000127124,20.741,Pomona Park,,Gravid
May 15 2026,L. sphenocephalus,,May 21 2026,KH042,65.68,21.982,N,N,F,,,,Y,14,9.54753E-05,5.193,Pomona Park,,Gravid
May 15 2026,L. sphenocephalus,,May 20 2026,KH043,24.55,1.44,N,N,,,,,Y,24,7.13E-06,,Pomona Park,,
May 15 2026,L. sphenocephalus,,May 20 2026,KH044,24.16,1.172,N,N,,,,,,24,6.43E-06,19.518,Pomona Park,,
May 15 2026,L. sphenocephalus,,May 20 2026,KH045,26.85,1.337,N,N,,,,,Y,24,1.99E-05,6.311,Pomona Park,,
May 15 2026,L. sphenocephalus,,May 20 2026,KH046,29.87,2.066,N,N,,,,,,24,1.60E-05,5.692,Pomona Park,,
May 15 2026,L. sphenocephalus,,May 21 2026,KH047,27.06,1.524,N,N,,,,,Y,14,6.02383E-06,4.951,Pomona Park,,
May 18 2026,E. planirostris,,May 24 2026,KH048,22.51,0.879,N,N,F,,,,Y,24,4.72403E-06,,NATL,,Gravid
May 18 2027,E. planirostris,,May 24 2026,KH049,18.62,0.604,N,N,,,,,,24,2.72105E-06,11.63,NATL,,
May 18 2028,E. planirostris,,May 24 2026,KH050,24.01,0.902,N,N,F,,,,Y,24,6.24833E-06,,NATL,,Gravid
May 18 2029,E. planirostris,,May 24 2026,KH051,22.98,1.211,N,N,F,,,,Y,24,5.37434E-06,71.428,NATL,,Gravid
May 18 2030,E. planirostris,,May 25 2026,KH052,22.49,0.936,N,N,F,,,,Y,14,1.21169E-06,50.005,NATL,,Gravid
May 18 2031,H. cinerea,,May 24 2026,KH053,28.27,1.286,N,N,,,,,Y,24,1.07264E-05,8.754,NATL,,
May 18 2032,H. cinerea,,May 24 2026,KH054,43.42,5.031,N,N,F,,,,,24,2.64076E-05,36.373,NATL,,Gravid
May 20 2026,L. sphenocephalus,,May 25 2026,KH055,65.05,21.965,N,N,M,,,,Y,14,3.69825E-05,12.881,Pomona Park,,
May 20 2026,L. sphenocephalus,,May 25 2026,KH056,72.26,28.326,N,N,F,,,,Y,14,0.000256649,9.444,Pomona Park,,Gravid
May 20 2026,L. sphenocephalus,,May 25 2026,KH057,66.02,26.524,N,N,F,,,,Y,14,0.000232211,4.228,Pomona Park,,Gravid
May 20 2026,L. sphenocephalus,,May 25 2026,KH058,66.3,18.995,N,N,F,,,,Y,14,0.000163483,4.15,Pomona Park,,
May 23 2026,L. sphenocephalus,,,KH059,56.08,13.086,N,N,,,,,,,,12.705,Pomona Park,Dead before dissection,
May 23 2026,L. sphenocephalus,,May 28 2026,KH060,66.59,21.631,N,N,F,,,,Y,34,0.000247431,8.302,Pomona Park,,Gravid
May 23 2026,L. sphenocephalus,,May 28 2026,KH061,60.28,21.359,N,N,F,,,,Y,34,0.000491576,10.223,Pomona Park,,Gravid
May 23 2026,L. sphenocephalus,,May 28 2026,KH062,57.85,14.609,N,N,F,,,,Y,34,0.000127322,6.218,Pomona Park,,Gravid
Aug 5 2026,H. cinerea,,Aug 11 2026,KH063,43.96,8.533,N,N,M,,,,Y,14,1.45016E-05,,NATL,,
Aug 5 2026,H. cinerea,,Aug 11 2026,KH064,38.4,6.119,N,N,M,,,,Y,14,6.04841E-06,5.952,NATL,,
Aug 5 2026,H. cinerea,,Aug 11 2026,KH065,39.58,6.462,N,N,M,,,,Y,14,4.96329E-06,15.064,NATL,,
Aug 5 2026,H. cinerea,,Aug 11 2026,KH066,39.78,6.641,N,N,M,,,,Y,14,7.77469E-06,6.458,NATL,,
